gal,R[kpc],Vrot[km/s],e_Vrot[km/s],hi_l08(Msun/pc^2),hi_err_l08(Msun/pc^2),h2_f16_at_rl08(Msun/pc^2),h2_err_f16_at_rl08(Msun/pc^2),sfrd_l08(1e-4*Msun/yr/kpc^2),sfrd_err_l08(1e-4*Msun/yr/kpc^2)
NGC2841,5.127000000000001,315.747,5.424,2.1493589692980435,0.20364925362810918,1.9554225274887482,0.6172415242885454,21.033351474646267,0.8104122215131355
NGC2841,5.537000000000001,318.433,6.0455000000000005,2.3242116078110104,0.20364925362810918,2.0875702679638484,0.6589547967989581,20.37129744287014,0.749444143245862
NGC2841,5.947,320.764,7.8765,2.4648307866998103,0.20364925362810918,2.169756922705413,0.6848975356882397,19.71701588887919,0.7682105704468931
NGC2841,6.358,319.302,7.295499999999999,2.5246223855492254,0.20364925362810918,2.149625907622537,0.6785430530838138,19.059569791971487,0.9471741961249959
NGC2841,6.768,323.038,6.908,2.584128889771245,0.20364925362810918,2.005805225636826,0.6331451425426666,17.904008309447164,1.0182462681405462
NGC2841,7.178,325.082,6.6365,2.6441789377477734,0.20364925362810918,1.8130907813329769,0.5723136057866226,16.564560207770235,1.0182462681405462
NGC2841,7.587999999999998,323.298,5.8115000000000006,2.6474402971654203,0.13868394802830838,1.5910189744664875,0.502215231320303,14.7254667600273,1.0734855457642178
NGC2841,7.997999999999998,321.346,6.2415,2.6638101927283064,0.1018246268140546,1.40303691708058,0.4428775025130225,13.160159545605154,1.1027694008507014
NGC2841,8.407999999999998,321.907,4.5525,2.733401283979423,0.1018246268140546,1.2635530181679522,0.39884852505764473,12.048008374740807,1.0332364187684335
NGC2841,8.818999999999999,321.851,5.6935,2.795208861259406,0.1018246268140546,1.0491211439022854,0.3311617437778114,11.188876918148074,1.0182462681405462
NGC2841,9.229,324.416,4.4990000000000006,2.855237431353894,0.1018246268140546,0.8527304188882555,0.2691697656964962,10.434253106142211,1.0138113747590876
NGC2841,9.639,325.332,4.667,2.914529762475209,0.1018246268140546,0.7074885896190211,0.22332326100079186,9.70403556993808,0.9531392273388686
NGC2841,10.049,322.737,1.619,2.974300029126072,0.1018246268140546,0.5818427787921,0.18366236382637013,8.942342334149066,0.8686866685645364
NGC2841,10.459,323.444,4.683,3.033949845920347,0.1018246268140546,0.4711919510576973,0.1487347281801325,8.108813828321468,0.7497831593629012
NGC2841,10.869,322.36,4.715,3.0547388044216386,0.1018246268140546,0.35536572896657037,0.11217344647702904,7.302663309169327,0.6717755175860253
NGC2841,11.279,321.889,4.3455,3.0547388044216386,0.1018246268140546,0.25819566665035015,0.08150109994520163,6.553029508415947,0.6137796442690088
NGC2841,11.69,322.087,5.735,2.9395461705928843,0.1018246268140546,0.19105401388304655,0.06030741136140207,5.679387905433731,0.6109477608843277
NGC2841,12.1,321.39,2.927,2.7977432373241102,0.1018246268140546,0.1332550332235078,0.04206279649014214,4.842037159362549,0.5926621649324131
NGC2841,12.51,320.063,4.0785,2.5892592662933067,0.1018246268140546,0.076955532167762,0.024291501867203875,3.9415749862369625,0.5232388931849239
NGC2841,12.92,321.546,4.082,2.401117902825165,0.13978692110502028,0.015276583762338558,0.004822150565840702,3.20632317074026,0.45974933653661665
NGC2841,13.33,323.907,5.7115,2.235680034931323,0.20364925362810918,0.002584061878213801,0.0008156755228819997,2.606044655383083,0.4023076594793982
