# slope intercept sigma lnLike
-4.080898025745701707e-01 2.000283774400903325e-01 2.657521946626071330e-01 -2.063937306405803440e+01
-4.681658795839355180e-01 1.547207053803749677e-01 3.312293951110120704e-01 -2.145316651408840869e+01
-5.210000317036926898e-01 1.401408858686974401e-01 2.477563908424890160e-01 -2.262186029636124829e+01
-4.964750017247186453e-01 1.279792866538395080e-01 2.926404936577863269e-01 -2.132726567160583642e+01
-7.155466877632772338e-01 1.888062637149396372e-01 2.532754698928647574e-01 -2.183801852575669855e+01
-5.375400365462151830e-01 1.921736543543136333e-01 2.977252948536578958e-01 -2.007582685267315270e+01
-4.067609904422688771e-01 2.100535076111040844e-01 2.495758478083230369e-01 -2.163682582590073267e+01
-4.642473087142706678e-01 2.107683863183524020e-01 2.948599006659093358e-01 -2.036396141339422883e+01
-6.552458722611671504e-01 2.190332023977540343e-01 2.685853640117958907e-01 -2.101800980380864203e+01
-4.850145788271060243e-01 2.649324182288737006e-01 3.011247737979082517e-01 -2.263183886394932287e+01
-5.596233558608683101e-01 2.553674685877381778e-01 2.957102240234090185e-01 -2.197058502621682052e+01
-5.315024983710381346e-01 1.778239663438815898e-01 2.866073993592416214e-01 -1.998971375900981684e+01
-4.137411556827261805e-01 1.802604287908352032e-01 2.995133229556581900e-01 -2.033351298865637347e+01
-8.874489920548198629e-01 1.687650913919926110e-01 2.876925495154899481e-01 -2.260888796245612298e+01
-5.496471152958789519e-01 2.314931023240662245e-01 2.690906081772211356e-01 -2.109680944014998616e+01
-5.962210660070030865e-01 2.084136253636652003e-01 2.365810837098530905e-01 -2.262643737304074776e+01
-5.273272480928136163e-01 1.986997030707519374e-01 3.365925936054454670e-01 -2.149789345136687757e+01
-3.736992541425980252e-01 1.338585711506286580e-01 2.900122716420241997e-01 -2.146440654381368418e+01
-3.449066311046102840e-01 2.156301760665339518e-01 2.906181706626455030e-01 -2.101704904154329867e+01
-4.354513102376043610e-01 2.008789521127441469e-01 3.201200286102304227e-01 -2.095113163697762815e+01
-6.426462204875884598e-01 1.626101435110823279e-01 2.929984130684044064e-01 -2.046479436672638741e+01
-4.492048172015440377e-01 1.656811232952350166e-01 3.186899730215367321e-01 -2.083482407629865207e+01
-4.988119380344162579e-01 1.614954295125176076e-01 2.570752052762942386e-01 -2.104576044674755764e+01
-4.019990630667311104e-01 1.210363664094199210e-01 2.614044789931084245e-01 -2.296331726967394005e+01
-3.799953104304706342e-01 1.425355717090237839e-01 3.180853230152854150e-01 -2.151667484505594174e+01
-5.345190967366361123e-01 2.288533283903912419e-01 3.198511209519457332e-01 -2.136789832024807012e+01
